code|name|active
1000|Material Vivo Vegetal y Animal, Accesorios y Suministros|TRUE
1010|Animales vivos|TRUE
1011|Productos para animales domesticos|TRUE
1012|Comida de animales|TRUE
1013|Recipientes y hábitat para animales|TRUE
1014|Productos de talabartería y arreo|TRUE
1015|Semillas, bulbos, plántulas y esquejes|TRUE
1016|Productos de floricultura y silvicultura|TRUE
1017|Fertilizantes y nutrientes para plantas y herbicidas|TRUE
1019|Productos para el control de plagas|TRUE
1020|Rosales vivos|TRUE
1021|Plantas vivas de especies o variedades de flores altas|TRUE
1022|Plantas vivas de especies o variedades de flores bajas|TRUE
1023|Crisantemos vivos|TRUE
1024|Claveles vivos|TRUE
1025|Orquídeas vivas|TRUE
1030|Rosas frescas cortadas|TRUE
1031|Bouquets cortados frescos de especies o variedades de flores altas|TRUE
1032|Bouquets cortados frescos de especies o variedades de flores bajas|TRUE
1033|Crisantemos cortados frescos|TRUE
1034|Bouquets florales cortados frescos|TRUE
1035|Claveles cortados frescos|TRUE
1036|Orquídeas cortadas frescas|TRUE
1040|Rosas cortadas secas|TRUE
1041|Bouquets cortados secos de especies o variedades de flores altas|TRUE
1042|Bouquets cortados secos de especies o variedades de flores bajas|TRUE
1043|Crisantemos cortados secos|TRUE
1044|Claveles cortados secos|TRUE
1045|Orquídeas cortadas secas|TRUE
1050|Follaje cortado fresco|TRUE
1100|Material Mineral, Textil y Vegetal y Animal No Comestible|TRUE
1110|Minerales, minerales metálicos y metales|TRUE
1111|Tierra y piedra|TRUE
1112|Productos no comestibles de planta y silvicultura|TRUE
1113|Productos animales no comestibles|TRUE
1114|Chatarra y materiales de desecho|TRUE
1115|Fibra, hilos e hilados|TRUE
1116|Tejidos y materiales de cuero|TRUE
1117|Aleaciones|TRUE
1118|Óxido metálico|TRUE
1119|Desechos metálicos y chatarra|TRUE
1200|Material Químico incluyendo Bioquímicos y Materiales de Gas|TRUE
1213|Materiales explosivos|TRUE
1214|Elementos y gases|TRUE
1216|Aditivos|TRUE
1217|Colorantes|TRUE
1218|Ceras y aceites|TRUE
1219|Solventes|TRUE
1235|Compuestos y mezclas|TRUE
1300|Materiales de Resina, Colofonia, Caucho, Espuma, Película y Elastómericos|TRUE
1310|Caucho y elastómeros|TRUE
1311|Resinas y colofonias y otros materiales derivados de resina|TRUE
1400|Materiales y Productos de Papel|TRUE
1410|Materiales de papel|TRUE
1411|Productos de papel|TRUE
1412|Papel para uso industrial|TRUE
1500|Materiales Combustibles, Aditivos para Combustibles, Lubricantes y Anticorrosivos|TRUE
1510|Combustibles|TRUE
1511|Combustibles gaseosos y aditivos|TRUE
1512|Lubricantes, aceites, grasas y anticorrosivos|TRUE
1513|Combustible para reactores nucleares|TRUE
2000|Maquinaria y Accesorios de Minería y Perforación de Pozos|TRUE
2010|Maquinaria y equipo de minería y explotación de canteras|TRUE
2011|Equipo de perforación y explotación de pozos|TRUE
2012|Equipo para perforación y exploración de petróleo y gas|TRUE
2013|Materiales para perforación y operaciones de petróleo y gas|TRUE
2014|Equipo de producción y operación de petróleo y gas|TRUE
2100|Maquinaria y Accesorios para Agricultura, Pesca, Silvicultura y Fauna|TRUE
2110|Maquinaria y equipo para agricultura, silvicultura y paisajismo|TRUE
2111|Equipo de pesca y acuicultura|TRUE
2200|Maquinaria y Accesorios para Construcción y Edificación|TRUE
2210|Maquinaria y equipo pesado de construcción|TRUE
2300|Maquinaria y Accesorios para Manufactura y Procesamiento Industrial|TRUE
2310|Maquinaria para el procesamiento de materias primas|TRUE
2311|Maquinaria para el procesamiento de petróleo|TRUE
2312|Maquinaria y accesorios de textiles y tejidos|TRUE
2313|Maquinaria y equipos lapidarios|TRUE
2314|Maquinaria de reparación y accesorios para marroquinería|TRUE
2315|Maquinaria, equipo y suministros de procesos industriales|TRUE
2316|Máquinas, equipo y suministros para fundición|TRUE
2318|Equipo industrial para alimentos y bebidas|TRUE
2319|Mezcladores y sus partes y accesorios|TRUE
2320|Equipamiento para transferencia de masa|TRUE
2321|Maquinaria de fabricación electrónica, equipo y accesorios|TRUE
2322|Equipo y maquinaria de procesamiento de pollos|TRUE
2323|Equipo y maquinaria de procesamiento de madera y aserrado|TRUE
2324|Maquinaria y accesorios para cortar metales|TRUE
2325|Maquinaria y accesorios para el formado de metales|TRUE
2326|Maquinaria y accesorios para hacer prototipos rápidos|TRUE
