id,country_id:id,name,code,cu_name
state_pa_1,base.pa,BOCAS DEL TORO,state_pa_1,1
state_pa_2,base.pa,COCLE,state_pa_2,2
state_pa_3,base.pa,COLON,state_pa_3,3
state_pa_4,base.pa,CHIRIQUI,state_pa_4,4
state_pa_5,base.pa,DARIEN,state_pa_5,5
state_pa_6,base.pa,HERRERA,state_pa_6,6
state_pa_7,base.pa,LOS SANTOS,state_pa_7,7
state_pa_8,base.pa,PANAMA,state_pa_8,8
state_pa_9,base.pa,VERAGUAS,state_pa_9,9
state_pa_10,base.pa,SAN BLAS,state_pa_10,10
state_pa_11,base.pa,COMARCA EMBERÁ - WOUNAAN,state_pa_11,11
state_pa_12,base.pa,COMARCA NGOBE BUGLE,state_pa_12,12
state_pa_13,base.pa,PANAMA OESTE,state_pa_13,13
