id,district_id:id,name,cu_name
jurisdiction_pa_1,l10n_pa_edi.district_pa_1,BOCAS DEL TORO,1
jurisdiction_pa_2,l10n_pa_edi.district_pa_1,BAHIA AZUL,2
jurisdiction_pa_3,l10n_pa_edi.district_pa_1,BASTIMENTOS,3
jurisdiction_pa_4,l10n_pa_edi.district_pa_1,CALOVEVORA O STA.CATALINA,4
jurisdiction_pa_5,l10n_pa_edi.district_pa_1,PUNTA LAUREL,5
jurisdiction_pa_6,l10n_pa_edi.district_pa_1,TOBOBE,6
jurisdiction_pa_7,l10n_pa_edi.district_pa_2,CHANGUINOLA (CABECERA),1
jurisdiction_pa_8,l10n_pa_edi.district_pa_2,ALMIRANTE,2
jurisdiction_pa_9,l10n_pa_edi.district_pa_2,GUABITO,3
jurisdiction_pa_10,l10n_pa_edi.district_pa_3,CHIRIQUI GRANDE (CABECERA),1
jurisdiction_pa_11,l10n_pa_edi.district_pa_3,CANQUINTU,2
jurisdiction_pa_12,l10n_pa_edi.district_pa_3,GUORONI,3
jurisdiction_pa_13,l10n_pa_edi.district_pa_3,MUNUNI,4
jurisdiction_pa_14,l10n_pa_edi.district_pa_3,PIEDRA ROJA,5
jurisdiction_pa_15,l10n_pa_edi.district_pa_3,PUNTA ROBALO,6
jurisdiction_pa_16,l10n_pa_edi.district_pa_4,AGUADULCE (CABECERA),1
jurisdiction_pa_17,l10n_pa_edi.district_pa_4,EL CRISTO,2
jurisdiction_pa_18,l10n_pa_edi.district_pa_4,EL ROBLE,3
jurisdiction_pa_19,l10n_pa_edi.district_pa_4,POCRI,4
jurisdiction_pa_20,l10n_pa_edi.district_pa_5,ANTON (CABECERA),1
jurisdiction_pa_21,l10n_pa_edi.district_pa_5,CABUYA,2
jurisdiction_pa_22,l10n_pa_edi.district_pa_5,EL CHIRU,3
jurisdiction_pa_23,l10n_pa_edi.district_pa_5,EL RETIRO,4
jurisdiction_pa_24,l10n_pa_edi.district_pa_5,EL VALLE,5
jurisdiction_pa_25,l10n_pa_edi.district_pa_5,JUAN DIAZ (ANTON),6
jurisdiction_pa_26,l10n_pa_edi.district_pa_5,RIO HATO,7
jurisdiction_pa_27,l10n_pa_edi.district_pa_5,SAN JUAN DE DIOS,8
jurisdiction_pa_28,l10n_pa_edi.district_pa_5,SANTA RITA,9
jurisdiction_pa_29,l10n_pa_edi.district_pa_6,LA PINTADA (CABECERA),1
jurisdiction_pa_30,l10n_pa_edi.district_pa_6,EL HARINO,2
jurisdiction_pa_31,l10n_pa_edi.district_pa_6,EL POTRERO,3
jurisdiction_pa_32,l10n_pa_edi.district_pa_6,LLANO GRANDE,4
jurisdiction_pa_33,l10n_pa_edi.district_pa_6,PIEDRAS GORDAS,5
jurisdiction_pa_34,l10n_pa_edi.district_pa_7,NATA (CABECERA),1
jurisdiction_pa_35,l10n_pa_edi.district_pa_7,CAPELLANIA,2
jurisdiction_pa_36,l10n_pa_edi.district_pa_7,EL CAÑO,3
jurisdiction_pa_37,l10n_pa_edi.district_pa_7,GUZMAN,4
jurisdiction_pa_38,l10n_pa_edi.district_pa_7,LAS HUACAS,5
jurisdiction_pa_39,l10n_pa_edi.district_pa_7,TOZA,6
jurisdiction_pa_40,l10n_pa_edi.district_pa_8,OLA (CABECERA),1
jurisdiction_pa_41,l10n_pa_edi.district_pa_8,EL COPE,2
jurisdiction_pa_42,l10n_pa_edi.district_pa_8,EL PALMAR,3
jurisdiction_pa_43,l10n_pa_edi.district_pa_8,EL PICACHO,4
jurisdiction_pa_44,l10n_pa_edi.district_pa_8,LA PAVA,5
jurisdiction_pa_45,l10n_pa_edi.district_pa_9,PENONOME (CABECERA),1
jurisdiction_pa_46,l10n_pa_edi.district_pa_9,CAÑAVERAL,2
jurisdiction_pa_47,l10n_pa_edi.district_pa_9,COCLE,3
jurisdiction_pa_48,l10n_pa_edi.district_pa_9,CHIRIGUI ARRIBA,4
jurisdiction_pa_49,l10n_pa_edi.district_pa_9,EL COCO,5
jurisdiction_pa_50,l10n_pa_edi.district_pa_9,PAJONAL,6
jurisdiction_pa_51,l10n_pa_edi.district_pa_9,RIO GRANDE,7
jurisdiction_pa_52,l10n_pa_edi.district_pa_9,RIO INDIO,8
jurisdiction_pa_53,l10n_pa_edi.district_pa_9,TOABRE,9
jurisdiction_pa_54,l10n_pa_edi.district_pa_9,TULU,10
jurisdiction_pa_55,l10n_pa_edi.district_pa_10,COLON (BARRIO NORTE),1
jurisdiction_pa_56,l10n_pa_edi.district_pa_10,COLON (BARRIO SUR),2
jurisdiction_pa_57,l10n_pa_edi.district_pa_10,BUENA VISTA,3
jurisdiction_pa_58,l10n_pa_edi.district_pa_10,CATIVA,4
jurisdiction_pa_59,l10n_pa_edi.district_pa_10,CIRICITO,5
jurisdiction_pa_60,l10n_pa_edi.district_pa_10,CRISTOBAL,6
jurisdiction_pa_61,l10n_pa_edi.district_pa_10,ESCOBAL,7
jurisdiction_pa_62,l10n_pa_edi.district_pa_10,LIMON,8
jurisdiction_pa_63,l10n_pa_edi.district_pa_10,NUEVA PROVIDENCIA,9
jurisdiction_pa_64,l10n_pa_edi.district_pa_10,PUERTO PILON,10
jurisdiction_pa_65,l10n_pa_edi.district_pa_10,SABANITAS,11
jurisdiction_pa_66,l10n_pa_edi.district_pa_10,SALAMANCA,12
jurisdiction_pa_67,l10n_pa_edi.district_pa_10,SAN JUAN,13
jurisdiction_pa_68,l10n_pa_edi.district_pa_10,SANTA ROSA,14
jurisdiction_pa_69,l10n_pa_edi.district_pa_11,CHAGRES (CABECERA),1
jurisdiction_pa_70,l10n_pa_edi.district_pa_11,ACHIOTE,2
jurisdiction_pa_71,l10n_pa_edi.district_pa_11,EL GUABO,3
jurisdiction_pa_72,l10n_pa_edi.district_pa_11,LA ENCANTADA,4
jurisdiction_pa_73,l10n_pa_edi.district_pa_11,PALMAS BELLAS,5
jurisdiction_pa_74,l10n_pa_edi.district_pa_11,PIÑA,6
jurisdiction_pa_75,l10n_pa_edi.district_pa_11,SALUD,7
jurisdiction_pa_76,l10n_pa_edi.district_pa_12,DONOSO (CABECERA),1
jurisdiction_pa_77,l10n_pa_edi.district_pa_12,COCLE DEL NORTE,2
jurisdiction_pa_78,l10n_pa_edi.district_pa_12,EL GUASIMO,3
jurisdiction_pa_79,l10n_pa_edi.district_pa_12,GOBEA,4
jurisdiction_pa_80,l10n_pa_edi.district_pa_12,RIO INDIO,5
jurisdiction_pa_81,l10n_pa_edi.district_pa_12,SAN JOSE DEL GENERAL(2),6
jurisdiction_pa_82,l10n_pa_edi.district_pa_13,PORTOBELO (CABECERA),1
jurisdiction_pa_83,l10n_pa_edi.district_pa_13,CACIQUE,2
jurisdiction_pa_84,l10n_pa_edi.district_pa_13,GARROTE,3
jurisdiction_pa_85,l10n_pa_edi.district_pa_13,ISLA GRANDE,4
jurisdiction_pa_86,l10n_pa_edi.district_pa_13,MARIA CHIQUITA,5
jurisdiction_pa_87,l10n_pa_edi.district_pa_14,SANTA ISABEL (CABECERA),1
jurisdiction_pa_88,l10n_pa_edi.district_pa_14,CUANGO,2
jurisdiction_pa_89,l10n_pa_edi.district_pa_14,MIRAMAR,3
jurisdiction_pa_90,l10n_pa_edi.district_pa_14,NOMBRE DE DIOS,4
jurisdiction_pa_91,l10n_pa_edi.district_pa_14,PALMIRA,5
jurisdiction_pa_92,l10n_pa_edi.district_pa_14,PLAYA CHIQUITA,6
jurisdiction_pa_93,l10n_pa_edi.district_pa_14,SANTA ISABEL,7
jurisdiction_pa_94,l10n_pa_edi.district_pa_14,VIENTO FRIO,8
jurisdiction_pa_95,l10n_pa_edi.district_pa_15,ALANJE (CABECERA),1
jurisdiction_pa_96,l10n_pa_edi.district_pa_15,DIVALA,2
jurisdiction_pa_97,l10n_pa_edi.district_pa_15,EL TEJAR,3
jurisdiction_pa_98,l10n_pa_edi.district_pa_15,EL GUARUMAL,4
jurisdiction_pa_99,l10n_pa_edi.district_pa_15,PALO GRANDE,5
jurisdiction_pa_100,l10n_pa_edi.district_pa_15,QUEREVALO,6
jurisdiction_pa_101,l10n_pa_edi.district_pa_15,SANTO TOMAS,7
jurisdiction_pa_102,l10n_pa_edi.district_pa_16,BARU (CABECERA),1
jurisdiction_pa_103,l10n_pa_edi.district_pa_16,LIMONES,2
jurisdiction_pa_104,l10n_pa_edi.district_pa_16,PROGRESO,3
jurisdiction_pa_105,l10n_pa_edi.district_pa_17,BOQUERON (CABECERA),1
jurisdiction_pa_106,l10n_pa_edi.district_pa_17,BAGALA,2
jurisdiction_pa_107,l10n_pa_edi.district_pa_17,CORDILLERA,3
jurisdiction_pa_108,l10n_pa_edi.district_pa_17,GUABAL (2),4
jurisdiction_pa_109,l10n_pa_edi.district_pa_17,GUAYABAL,5
jurisdiction_pa_110,l10n_pa_edi.district_pa_17,PARAISO,6
jurisdiction_pa_111,l10n_pa_edi.district_pa_17,PEDREGAL,7
jurisdiction_pa_112,l10n_pa_edi.district_pa_17,TIJERAS (2),8
jurisdiction_pa_113,l10n_pa_edi.district_pa_18,BOQUETE (CABECERA),1
jurisdiction_pa_114,l10n_pa_edi.district_pa_18,CALDERA,2
jurisdiction_pa_115,l10n_pa_edi.district_pa_18,PALMIRA,3
jurisdiction_pa_116,l10n_pa_edi.district_pa_19,BUGABA (CABECERA),1
jurisdiction_pa_117,l10n_pa_edi.district_pa_19,ASERRIO DE GARICHE,2
jurisdiction_pa_118,l10n_pa_edi.district_pa_19,BUGABA,3
jurisdiction_pa_119,l10n_pa_edi.district_pa_19,CERRO PUNTA,4
jurisdiction_pa_120,l10n_pa_edi.district_pa_19,GOMEZ (2),5
jurisdiction_pa_121,l10n_pa_edi.district_pa_19,LA ESTRELLA,6
jurisdiction_pa_122,l10n_pa_edi.district_pa_19,SAN ANDRES,7
jurisdiction_pa_123,l10n_pa_edi.district_pa_19,SANTA MARTA,8
jurisdiction_pa_124,l10n_pa_edi.district_pa_19,SANTA ROSA,9
jurisdiction_pa_125,l10n_pa_edi.district_pa_19,SANTO DOMINGO,10
jurisdiction_pa_126,l10n_pa_edi.district_pa_19,SORTOVA,11
jurisdiction_pa_127,l10n_pa_edi.district_pa_19,VOLCAN,12
jurisdiction_pa_128,l10n_pa_edi.district_pa_20,DAVID (CABECERA),1
jurisdiction_pa_129,l10n_pa_edi.district_pa_20,BIJAGUAL,2
jurisdiction_pa_130,l10n_pa_edi.district_pa_20,COCHEA,3
jurisdiction_pa_131,l10n_pa_edi.district_pa_20,CHIRIQUI,4
jurisdiction_pa_132,l10n_pa_edi.district_pa_20,GUACA,5
jurisdiction_pa_133,l10n_pa_edi.district_pa_20,LAS LOMAS,6
jurisdiction_pa_134,l10n_pa_edi.district_pa_20,PEDREGAL,7
jurisdiction_pa_135,l10n_pa_edi.district_pa_20,SAN CARLOS,8
jurisdiction_pa_136,l10n_pa_edi.district_pa_20,SAN PABLO NUEVO,9
jurisdiction_pa_137,l10n_pa_edi.district_pa_20,SAN PABLO VIEJO,10
jurisdiction_pa_138,l10n_pa_edi.district_pa_21,DOLEGA (CABECERA),1
jurisdiction_pa_139,l10n_pa_edi.district_pa_21,DOS RIOS,2
jurisdiction_pa_140,l10n_pa_edi.district_pa_21,LOS ANASTACIOS,3
jurisdiction_pa_141,l10n_pa_edi.district_pa_21,POTRERILLOS,4
jurisdiction_pa_142,l10n_pa_edi.district_pa_21,POTRERILLOS ABAJO,5
jurisdiction_pa_143,l10n_pa_edi.district_pa_21,ROVIRA,6
jurisdiction_pa_144,l10n_pa_edi.district_pa_21,TINAJAS,7
jurisdiction_pa_145,l10n_pa_edi.district_pa_22,GUALACA (CABECERA),1
jurisdiction_pa_146,l10n_pa_edi.district_pa_22,HORNITO,2
jurisdiction_pa_147,l10n_pa_edi.district_pa_22,LOS ANGELES,3
jurisdiction_pa_148,l10n_pa_edi.district_pa_22,PAJA DE SOMBRERO,4
jurisdiction_pa_149,l10n_pa_edi.district_pa_22,RINCON,5
jurisdiction_pa_150,l10n_pa_edi.district_pa_23,REMEDIOS (CABECERA),1
jurisdiction_pa_151,l10n_pa_edi.district_pa_23,CERRO IGLESIAS,2
jurisdiction_pa_152,l10n_pa_edi.district_pa_23,EL NANCITO,3
jurisdiction_pa_153,l10n_pa_edi.district_pa_23,HATO CHAMI,4
jurisdiction_pa_154,l10n_pa_edi.district_pa_23,LAJERO,5
jurisdiction_pa_155,l10n_pa_edi.district_pa_24,RENACIMIENTO (CABECERA),1
